atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,SG1,Cluster15,Ward,df_AbioticsDistance,218310.683337165
AtLeastIn1,SG1,Cluster15,Medoid,df_LatDephtDistance,234599.180341254
AtLeastIn1,SG1,Cluster15,Medoid,df_AbioticsDistance,223530.317614489
AtLeastIn1,SG1,Cluster16,Ward,df_LatDephtDistance,227062.746272211
AtLeastIn1,SG1,Cluster16,Ward,df_AbioticsDistance,217249.750681732
AtLeastIn1,SG1,Cluster16,Medoid,df_LatDephtDistance,211765.242509631
AtLeastIn1,SG1,Cluster16,Medoid,df_AbioticsDistance,201539.969622512
AtLeastIn1,SG1,Cluster17,Ward,df_LatDephtDistance,204238.348293386
AtLeastIn1,SG1,Cluster17,Ward,df_AbioticsDistance,194831.501785984
AtLeastIn1,SG1,Cluster17,Medoid,df_LatDephtDistance,181037.033538185
AtLeastIn1,SG1,Cluster17,Medoid,df_AbioticsDistance,170974.939303243
AtLeastIn1,SG1,Cluster18,Ward,df_LatDephtDistance,175265.244394728
AtLeastIn1,SG1,Cluster18,Ward,df_AbioticsDistance,165772.976131108
AtLeastIn1,SG1,Cluster18,Medoid,df_LatDephtDistance,172706.643477457
AtLeastIn1,SG1,Cluster18,Medoid,df_AbioticsDistance,163529.940000116
AtLeastIn1,SG1,Cluster19,Ward,df_LatDephtDistance,172911.028679141
AtLeastIn1,SG1,Cluster19,Ward,df_AbioticsDistance,164328.662162392
AtLeastIn1,SG1,Cluster19,Medoid,df_LatDephtDistance,168719.262084768
AtLeastIn1,SG1,Cluster19,Medoid,df_AbioticsDistance,159204.056918239
AtLeastIn1,SG1,Cluster20,Ward,df_LatDephtDistance,169396.3166496
AtLeastIn1,SG1,Cluster20,Ward,df_AbioticsDistance,161331.773946689
AtLeastIn1,SG1,Cluster20,Medoid,df_LatDephtDistance,154383.362309271
AtLeastIn1,SG1,Cluster20,Medoid,df_AbioticsDistance,145047.275580701
AtLeastIn1,SG1,Cluster21,Ward,df_LatDephtDistance,157653.34401054
AtLeastIn1,SG1,Cluster21,Ward,df_AbioticsDistance,149599.45903157
AtLeastIn1,SG1,Cluster21,Medoid,df_LatDephtDistance,146316.957714019
AtLeastIn1,SG1,Cluster21,Medoid,df_AbioticsDistance,137358.625656856
AtLeastIn1,SG1,Cluster22,Ward,df_LatDephtDistance,153725.012550158
AtLeastIn1,SG1,Cluster22,Ward,df_AbioticsDistance,146173.642798577
AtLeastIn1,SG1,Cluster22,Medoid,df_LatDephtDistance,143711.081454179
